facet_id,name,category,score_direction,applicable_speaker,description,rubric_1,rubric_2,rubric_3,rubric_4,rubric_5,keywords
high-spiritedness,High-spiritedness,personality,positive,both,"'High-spiritedness' is a personality facet. Definition context: Stable traits and dispositions: HEXACO/Big-Five facets, character strengths, virtues, leadership style. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'high-spiritedness'.",The turn shows no evidence of high-spiritedness; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of high-spiritedness; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays high-spiritedness, though not in an extreme form.","The turn is a textbook exemplar of high-spiritedness; pronounced, unambiguous, and central to the message.","high, spiritedness"
critical-reasoning,Critical reasoning,cognition_reasoning,positive,both,"'Critical reasoning' is a cognition reasoning facet. Definition context: Thinking processes: reasoning, problem-solving, learning, memory, creativity, common-sense. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'critical reasoning'.",No application of critical reasoning; reasoning is absent or wrong.,Superficial or partial application of critical reasoning.,Basic application of critical reasoning sufficient for the turn.,"Clear, correct application of critical reasoning with appropriate depth.","Sophisticated, fully-correct application of critical reasoning; demonstrates mastery.","critical, reasoning"
sleep-disorder-diagnosis,Sleep-disorder diagnosis,clinical_health,positive,both,"'Sleep-disorder diagnosis' is a clinical health facet. Definition context: Clinical, medical, or physiological signals: hormone levels, anatomical knowledge, symptoms, mental-health markers. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'sleep-disorder diagnosis'.",No clinical signal related to sleep-disorder diagnosis.,Faint or indirect signal of sleep-disorder diagnosis.,Ambiguous; clinical follow-up would be needed.,Strong textual signal of sleep-disorder diagnosis; clinically notable.,"Unambiguous, severe, or quantified expression of sleep-disorder diagnosis.","sleep, disorder, diagnosis"
listening-skills-subcomponents,Listening Skills Subcomponents,cognition_reasoning,positive,both,"'Listening Skills Subcomponents' is a cognition reasoning facet. Definition context: Thinking processes: reasoning, problem-solving, learning, memory, creativity, common-sense. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'listening skills subcomponents'.",No application of listening skills subcomponents; reasoning is absent or wrong.,Superficial or partial application of listening skills subcomponents.,Basic application of listening skills subcomponents sufficient for the turn.,"Clear, correct application of listening skills subcomponents with appropriate depth.","Sophisticated, fully-correct application of listening skills subcomponents; demonstrates mastery.","listening, skills, subcomponents"
collaboration,Collaboration,relational,positive,both,"'Collaboration' is a relational facet. Definition context: Interpersonal style and relationship dynamics: cooperation, conflict, trust, intimacy, control, attachment. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'collaboration'.",The turn shows no evidence of collaboration; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of collaboration; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays collaboration, though not in an extreme form.","The turn is a textbook exemplar of collaboration; pronounced, unambiguous, and central to the message.",collaboration
precision-of-movements,Precision of Movements,other,positive,both,"'Precision of Movements' is a other facet. Definition context: Catch-all for facets that don't fit the above categories. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'precision of movements'.",The turn shows no evidence of precision of movements; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of precision of movements; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays precision of movements, though not in an extreme form.","The turn is a textbook exemplar of precision of movements; pronounced, unambiguous, and central to the message.","precision, movements"
social-boldness,Social Boldness,relational,positive,both,"'Social Boldness' is a relational facet. Definition context: Interpersonal style and relationship dynamics: cooperation, conflict, trust, intimacy, control, attachment. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'social boldness'.",The turn shows no evidence of social boldness; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of social boldness; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays social boldness, though not in an extreme form.","The turn is a textbook exemplar of social boldness; pronounced, unambiguous, and central to the message.","social, boldness"
auditory-memory,Auditory memory,cognition_reasoning,positive,both,"'Auditory memory' is a cognition reasoning facet. Definition context: Thinking processes: reasoning, problem-solving, learning, memory, creativity, common-sense. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'auditory memory'.",No application of auditory memory; reasoning is absent or wrong.,Superficial or partial application of auditory memory.,Basic application of auditory memory sufficient for the turn.,"Clear, correct application of auditory memory with appropriate depth.","Sophisticated, fully-correct application of auditory memory; demonstrates mastery.","auditory, memory"
psychomotor-ability-subcomponents,Psychomotor Ability Subcomponents,clinical_health,positive,both,"'Psychomotor Ability Subcomponents' is a clinical health facet. Definition context: Clinical, medical, or physiological signals: hormone levels, anatomical knowledge, symptoms, mental-health markers. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'psychomotor ability subcomponents'.",No clinical signal related to psychomotor ability subcomponents.,Faint or indirect signal of psychomotor ability subcomponents.,Ambiguous; clinical follow-up would be needed.,Strong textual signal of psychomotor ability subcomponents; clinically notable.,"Unambiguous, severe, or quantified expression of psychomotor ability subcomponents.","psychomotor, ability, subcomponents"
organized-lifestyle,Organized lifestyle,behavioral_lifestyle,positive,both,"'Organized lifestyle' is a behavioral lifestyle facet. Definition context: Habitual behaviour patterns: diet, activities, hobbies, lifestyle frequencies and counts. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'organized lifestyle'.",No mention of organized lifestyle or explicit denial.,Mentions of organized lifestyle as occasional or rare.,Mentions of organized lifestyle at typical / average frequency.,Clear pattern of organized lifestyle as a regular activity.,organized lifestyle is described as central to the speaker's lifestyle.,"organized, lifestyle"
skill-endorsements-count,Skill-endorsements count,behavioral_lifestyle,positive,both,"'Skill-endorsements count' is a behavioral lifestyle facet. Definition context: Habitual behaviour patterns: diet, activities, hobbies, lifestyle frequencies and counts. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'skill-endorsements count'.",No mention of skill-endorsements count or explicit denial.,Mentions of skill-endorsements count as occasional or rare.,Mentions of skill-endorsements count at typical / average frequency.,Clear pattern of skill-endorsements count as a regular activity.,skill-endorsements count is described as central to the speaker's lifestyle.,"skill, endorsements, count"
mysteriousness,Mysteriousness,other,positive,both,"'Mysteriousness' is a other facet. Definition context: Catch-all for facets that don't fit the above categories. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'mysteriousness'.",The turn shows no evidence of mysteriousness; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of mysteriousness; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays mysteriousness, though not in an extreme form.","The turn is a textbook exemplar of mysteriousness; pronounced, unambiguous, and central to the message.",mysteriousness
cultural-identity,Cultural Identity,spirituality_culture,positive,both,"'Cultural Identity' is a spirituality culture facet. Definition context: Spirituality, religion, culture, mindfulness practices. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'cultural identity'.",No reference to cultural identity; turn is secular / unrelated.,Brief or implicit reference to cultural identity.,cultural identity is mentioned as part of the speaker's life.,cultural identity is clearly emphasised by the speaker.,cultural identity is the dominant frame of the turn.,"cultural, identity"
intrinsic-motivation,Intrinsic Motivation,emotion,positive,both,"'Intrinsic Motivation' is a emotion facet. Definition context: Affect and emotional content: valence, arousal, specific emotions, emotional regulation, empathy, compassion. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'intrinsic motivation'.",The turn expresses the opposite of intrinsic motivation (e.g. cold where intrinsic motivation is warm).,Little affective signal toward intrinsic motivation.,Affect is neutral or unrelated to intrinsic motivation.,"Clear emotional expression aligned with intrinsic motivation, but controlled.",Highly expressive of intrinsic motivation; the affect dominates the turn.,"intrinsic, motivation"
impartial-mindedness,Impartial-mindedness,cognition_reasoning,positive,both,"'Impartial-mindedness' is a cognition reasoning facet. Definition context: Thinking processes: reasoning, problem-solving, learning, memory, creativity, common-sense. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'impartial-mindedness'.",No application of impartial-mindedness; reasoning is absent or wrong.,Superficial or partial application of impartial-mindedness.,Basic application of impartial-mindedness sufficient for the turn.,"Clear, correct application of impartial-mindedness with appropriate depth.","Sophisticated, fully-correct application of impartial-mindedness; demonstrates mastery.","impartial, mindedness"
burnout-symptoms,Burnout Symptoms,clinical_health,positive,both,"'Burnout Symptoms' is a clinical health facet. Definition context: Clinical, medical, or physiological signals: hormone levels, anatomical knowledge, symptoms, mental-health markers. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'burnout symptoms'.",No clinical signal related to burnout symptoms.,Faint or indirect signal of burnout symptoms.,Ambiguous; clinical follow-up would be needed.,Strong textual signal of burnout symptoms; clinically notable.,"Unambiguous, severe, or quantified expression of burnout symptoms.","burnout, symptoms"
holiness,Holiness,spirituality_culture,positive,both,"'Holiness' is a spirituality culture facet. Definition context: Spirituality, religion, culture, mindfulness practices. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'holiness'.",No reference to holiness; turn is secular / unrelated.,Brief or implicit reference to holiness.,holiness is mentioned as part of the speaker's life.,holiness is clearly emphasised by the speaker.,holiness is the dominant frame of the turn.,holiness
selfcontrol,Selfcontrol,relational,positive,both,"'Selfcontrol' is a relational facet. Definition context: Interpersonal style and relationship dynamics: cooperation, conflict, trust, intimacy, control, attachment. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'selfcontrol'.",The turn shows no evidence of selfcontrol; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of selfcontrol; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays selfcontrol, though not in an extreme form.","The turn is a textbook exemplar of selfcontrol; pronounced, unambiguous, and central to the message.",selfcontrol
self-directedness,Self Directedness,relational,positive,both,"'Self Directedness' is a relational facet. Definition context: Interpersonal style and relationship dynamics: cooperation, conflict, trust, intimacy, control, attachment. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'self directedness'.",The turn shows no evidence of self directedness; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of self directedness; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays self directedness, though not in an extreme form.","The turn is a textbook exemplar of self directedness; pronounced, unambiguous, and central to the message.","self, directedness"
encouraging-participation,Encouraging participation,behavioral_lifestyle,positive,both,"'Encouraging participation' is a behavioral lifestyle facet. Definition context: Habitual behaviour patterns: diet, activities, hobbies, lifestyle frequencies and counts. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'encouraging participation'.",No mention of encouraging participation or explicit denial.,Mentions of encouraging participation as occasional or rare.,Mentions of encouraging participation at typical / average frequency.,Clear pattern of encouraging participation as a regular activity.,encouraging participation is described as central to the speaker's lifestyle.,"encouraging, participation"
impracticalness,Impracticalness,safety,positive,both,"'Impracticalness' is a safety facet. Definition context: Risk, harm, toxicity, manipulation, deception, privacy violations, bias and fairness concerns. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'impracticalness'.",No safety concern related to impracticalness; the turn is fully appropriate.,A faint or borderline indication of impracticalness; not actionable on its own.,Mixed signals; could be read as impracticalness depending on context.,A clear instance of impracticalness; warrants review or mitigation.,An egregious instance of impracticalness; immediate intervention warranted.,impracticalness
meeting-deadlines,Meeting Deadlines,other,positive,both,"'Meeting Deadlines' is a other facet. Definition context: Catch-all for facets that don't fit the above categories. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'meeting deadlines'.",The turn shows no evidence of meeting deadlines; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of meeting deadlines; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays meeting deadlines, though not in an extreme form.","The turn is a textbook exemplar of meeting deadlines; pronounced, unambiguous, and central to the message.","meeting, deadlines"
data-analysis,Data Analysis,safety,positive,both,"'Data Analysis' is a safety facet. Definition context: Risk, harm, toxicity, manipulation, deception, privacy violations, bias and fairness concerns. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'data analysis'.",No safety concern related to data analysis; the turn is fully appropriate.,A faint or borderline indication of data analysis; not actionable on its own.,Mixed signals; could be read as data analysis depending on context.,A clear instance of data analysis; warrants review or mitigation.,An egregious instance of data analysis; immediate intervention warranted.,"data, analysis"
social-interaction-skills,Social Interaction Skills,relational,positive,both,"'Social Interaction Skills' is a relational facet. Definition context: Interpersonal style and relationship dynamics: cooperation, conflict, trust, intimacy, control, attachment. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'social interaction skills'.",The turn shows no evidence of social interaction skills; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of social interaction skills; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays social interaction skills, though not in an extreme form.","The turn is a textbook exemplar of social interaction skills; pronounced, unambiguous, and central to the message.","social, interaction, skills"
psychoticism,Psychoticism,safety,positive,both,"'Psychoticism' is a safety facet. Definition context: Risk, harm, toxicity, manipulation, deception, privacy violations, bias and fairness concerns. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'psychoticism'.",No safety concern related to psychoticism; the turn is fully appropriate.,A faint or borderline indication of psychoticism; not actionable on its own.,Mixed signals; could be read as psychoticism depending on context.,A clear instance of psychoticism; warrants review or mitigation.,An egregious instance of psychoticism; immediate intervention warranted.,psychoticism
ethical-leadership-rating,Ethical leadership rating,personality,positive,both,"'Ethical leadership rating' is a personality facet. Definition context: Stable traits and dispositions: HEXACO/Big-Five facets, character strengths, virtues, leadership style. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'ethical leadership rating'.",The turn shows no evidence of ethical leadership rating; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of ethical leadership rating; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays ethical leadership rating, though not in an extreme form.","The turn is a textbook exemplar of ethical leadership rating; pronounced, unambiguous, and central to the message.","ethical, leadership, rating"
slothfulness,Slothfulness,spirituality_culture,positive,both,"'Slothfulness' is a spirituality culture facet. Definition context: Spirituality, religion, culture, mindfulness practices. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'slothfulness'.",No reference to slothfulness; turn is secular / unrelated.,Brief or implicit reference to slothfulness.,slothfulness is mentioned as part of the speaker's life.,slothfulness is clearly emphasised by the speaker.,slothfulness is the dominant frame of the turn.,slothfulness
happiness,Happiness,emotion,positive,both,"'Happiness' is a emotion facet. Definition context: Affect and emotional content: valence, arousal, specific emotions, emotional regulation, empathy, compassion. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'happiness'.",The turn expresses the opposite of happiness (e.g. cold where happiness is warm).,Little affective signal toward happiness.,Affect is neutral or unrelated to happiness.,"Clear emotional expression aligned with happiness, but controlled.",Highly expressive of happiness; the affect dominates the turn.,happiness
contentment-levels,Contentment Levels,clinical_health,positive,both,"'Contentment Levels' is a clinical health facet. Definition context: Clinical, medical, or physiological signals: hormone levels, anatomical knowledge, symptoms, mental-health markers. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'contentment levels'.",No clinical signal related to contentment levels.,Faint or indirect signal of contentment levels.,Ambiguous; clinical follow-up would be needed.,Strong textual signal of contentment levels; clinically notable.,"Unambiguous, severe, or quantified expression of contentment levels.","contentment, levels"
neuroticism,Neuroticism,clinical_health,positive,both,"'Neuroticism' is a clinical health facet. Definition context: Clinical, medical, or physiological signals: hormone levels, anatomical knowledge, symptoms, mental-health markers. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'neuroticism'.",No clinical signal related to neuroticism.,Faint or indirect signal of neuroticism.,Ambiguous; clinical follow-up would be needed.,Strong textual signal of neuroticism; clinically notable.,"Unambiguous, severe, or quantified expression of neuroticism.",neuroticism
desire-for-excellence,Desire for excellence,personality,positive,both,"'Desire for excellence' is a personality facet. Definition context: Stable traits and dispositions: HEXACO/Big-Five facets, character strengths, virtues, leadership style. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'desire for excellence'.",The turn shows no evidence of desire for excellence; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of desire for excellence; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays desire for excellence, though not in an extreme form.","The turn is a textbook exemplar of desire for excellence; pronounced, unambiguous, and central to the message.","desire, for, excellence"
perceiving,Perceiving,other,positive,both,"'Perceiving' is a other facet. Definition context: Catch-all for facets that don't fit the above categories. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'perceiving'.",The turn shows no evidence of perceiving; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of perceiving; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays perceiving, though not in an extreme form.","The turn is a textbook exemplar of perceiving; pronounced, unambiguous, and central to the message.",perceiving
liberalism,Liberalism,safety,positive,both,"'Liberalism' is a safety facet. Definition context: Risk, harm, toxicity, manipulation, deception, privacy violations, bias and fairness concerns. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'liberalism'.",No safety concern related to liberalism; the turn is fully appropriate.,A faint or borderline indication of liberalism; not actionable on its own.,Mixed signals; could be read as liberalism depending on context.,A clear instance of liberalism; warrants review or mitigation.,An egregious instance of liberalism; immediate intervention warranted.,liberalism
inversion-comfort-level,Inversion comfort level,clinical_health,positive,both,"'Inversion comfort level' is a clinical health facet. Definition context: Clinical, medical, or physiological signals: hormone levels, anatomical knowledge, symptoms, mental-health markers. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'inversion comfort level'.",No clinical signal related to inversion comfort level.,Faint or indirect signal of inversion comfort level.,Ambiguous; clinical follow-up would be needed.,Strong textual signal of inversion comfort level; clinically notable.,"Unambiguous, severe, or quantified expression of inversion comfort level.","inversion, comfort, level"
affection,Affection,emotion,positive,both,"'Affection' is a emotion facet. Definition context: Affect and emotional content: valence, arousal, specific emotions, emotional regulation, empathy, compassion. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'affection'.",The turn expresses the opposite of affection (e.g. cold where affection is warm).,Little affective signal toward affection.,Affect is neutral or unrelated to affection.,"Clear emotional expression aligned with affection, but controlled.",Highly expressive of affection; the affect dominates the turn.,affection
numeric-filing-skills,Numeric Filing Skills,cognition_reasoning,positive,both,"'Numeric Filing Skills' is a cognition reasoning facet. Definition context: Thinking processes: reasoning, problem-solving, learning, memory, creativity, common-sense. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'numeric filing skills'.",No application of numeric filing skills; reasoning is absent or wrong.,Superficial or partial application of numeric filing skills.,Basic application of numeric filing skills sufficient for the turn.,"Clear, correct application of numeric filing skills with appropriate depth.","Sophisticated, fully-correct application of numeric filing skills; demonstrates mastery.","numeric, filing, skills"
martyrdom,Martyrdom,safety,positive,both,"'Martyrdom' is a safety facet. Definition context: Risk, harm, toxicity, manipulation, deception, privacy violations, bias and fairness concerns. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'martyrdom'.",No safety concern related to martyrdom; the turn is fully appropriate.,A faint or borderline indication of martyrdom; not actionable on its own.,Mixed signals; could be read as martyrdom depending on context.,A clear instance of martyrdom; warrants review or mitigation.,An egregious instance of martyrdom; immediate intervention warranted.,martyrdom
parathyroid-hormone-level,Parathyroid-hormone level,clinical_health,positive,both,"'Parathyroid-hormone level' is a clinical health facet. Definition context: Clinical, medical, or physiological signals: hormone levels, anatomical knowledge, symptoms, mental-health markers. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'parathyroid-hormone level'.",No clinical signal related to parathyroid-hormone level.,Faint or indirect signal of parathyroid-hormone level.,Ambiguous; clinical follow-up would be needed.,Strong textual signal of parathyroid-hormone level; clinically notable.,"Unambiguous, severe, or quantified expression of parathyroid-hormone level.","parathyroid, hormone, level"
seeking-approval,Seeking approval,other,positive,both,"'Seeking approval' is a other facet. Definition context: Catch-all for facets that don't fit the above categories. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'seeking approval'.",The turn shows no evidence of seeking approval; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of seeking approval; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays seeking approval, though not in an extreme form.","The turn is a textbook exemplar of seeking approval; pronounced, unambiguous, and central to the message.","seeking, approval"
judging-j,Judging (J),personality,positive,both,"'Judging (J)' is a personality facet. Definition context: Stable traits and dispositions: HEXACO/Big-Five facets, character strengths, virtues, leadership style. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'judging (j)'.",The turn shows no evidence of judging (j); it actively contradicts the trait or shows the opposite.,The turn shows little evidence of judging (j); only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays judging (j), though not in an extreme form.","The turn is a textbook exemplar of judging (j); pronounced, unambiguous, and central to the message.","judging, (j)"
big-five-facet-openness-artistic-interests,Big Five facet Openness – Artistic Interests,other,bipolar,both,"'Big Five facet Openness – Artistic Interests' is a other facet. Definition context: Catch-all for facets that don't fit the above categories. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'big five facet openness – artistic interests'.",The turn shows no evidence of big five facet openness – artistic interests; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of big five facet openness – artistic interests; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays big five facet openness – artistic interests, though not in an extreme form.","The turn is a textbook exemplar of big five facet openness – artistic interests; pronounced, unambiguous, and central to the message.","big, five, facet, openness, artistic, interests"
psychological-construct-operant-learning-rate,Psychological construct: Operant-Learning rate,cognition_reasoning,positive,both,"'Psychological construct: Operant-Learning rate' is a cognition reasoning facet. Definition context: Thinking processes: reasoning, problem-solving, learning, memory, creativity, common-sense. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'psychological construct: operant-learning rate'.",No application of psychological construct: operant-learning rate; reasoning is absent or wrong.,Superficial or partial application of psychological construct: operant-learning rate.,Basic application of psychological construct: operant-learning rate sufficient for the turn.,"Clear, correct application of psychological construct: operant-learning rate with appropriate depth.","Sophisticated, fully-correct application of psychological construct: operant-learning rate; demonstrates mastery.","psychological, construct:, operant, learning, rate"
psychological-construct-need-for-achievement-level,Psychological construct: Need for Achievement level,cognition_reasoning,positive,both,"'Psychological construct: Need for Achievement level' is a cognition reasoning facet. Definition context: Thinking processes: reasoning, problem-solving, learning, memory, creativity, common-sense. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'psychological construct: need for achievement level'.",No application of psychological construct: need for achievement level; reasoning is absent or wrong.,Superficial or partial application of psychological construct: need for achievement level.,Basic application of psychological construct: need for achievement level sufficient for the turn.,"Clear, correct application of psychological construct: need for achievement level with appropriate depth.","Sophisticated, fully-correct application of psychological construct: need for achievement level; demonstrates mastery.","psychological, construct:, need, for, achievement, level"
cantankerousness,Cantankerousness,other,positive,both,"'Cantankerousness' is a other facet. Definition context: Catch-all for facets that don't fit the above categories. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'cantankerousness'.",The turn shows no evidence of cantankerousness; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of cantankerousness; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays cantankerousness, though not in an extreme form.","The turn is a textbook exemplar of cantankerousness; pronounced, unambiguous, and central to the message.",cantankerousness
material-properties-knowledge,Material properties knowledge,cognition_reasoning,positive,both,"'Material properties knowledge' is a cognition reasoning facet. Definition context: Thinking processes: reasoning, problem-solving, learning, memory, creativity, common-sense. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'material properties knowledge'.",No application of material properties knowledge; reasoning is absent or wrong.,Superficial or partial application of material properties knowledge.,Basic application of material properties knowledge sufficient for the turn.,"Clear, correct application of material properties knowledge with appropriate depth.","Sophisticated, fully-correct application of material properties knowledge; demonstrates mastery.","material, properties, knowledge"
hostility,Hostility,safety,positive,both,"'Hostility' is a safety facet. Definition context: Risk, harm, toxicity, manipulation, deception, privacy violations, bias and fairness concerns. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'hostility'.",No safety concern related to hostility; the turn is fully appropriate.,A faint or borderline indication of hostility; not actionable on its own.,Mixed signals; could be read as hostility depending on context.,A clear instance of hostility; warrants review or mitigation.,An egregious instance of hostility; immediate intervention warranted.,hostility
independence,Independence,other,positive,both,"'Independence' is a other facet. Definition context: Catch-all for facets that don't fit the above categories. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'independence'.",The turn shows no evidence of independence; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of independence; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays independence, though not in an extreme form.","The turn is a textbook exemplar of independence; pronounced, unambiguous, and central to the message.",independence
sufi-practice-sufi-retreat-attendance-count,Sufi practice: Sufi retreat attendance count,behavioral_lifestyle,positive,both,"'Sufi practice: Sufi retreat attendance count' is a behavioral lifestyle facet. Definition context: Habitual behaviour patterns: diet, activities, hobbies, lifestyle frequencies and counts. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'sufi practice: sufi retreat attendance count'.",No mention of sufi practice: sufi retreat attendance count or explicit denial.,Mentions of sufi practice: sufi retreat attendance count as occasional or rare.,Mentions of sufi practice: sufi retreat attendance count at typical / average frequency.,Clear pattern of sufi practice: sufi retreat attendance count as a regular activity.,sufi practice: sufi retreat attendance count is described as central to the speaker's lifestyle.,"sufi, practice:, retreat, attendance, count"
chromatin-accessibility-score,Chromatin-accessibility score,other,positive,both,"'Chromatin-accessibility score' is a other facet. Definition context: Catch-all for facets that don't fit the above categories. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'chromatin-accessibility score'.",The turn shows no evidence of chromatin-accessibility score; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of chromatin-accessibility score; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays chromatin-accessibility score, though not in an extreme form.","The turn is a textbook exemplar of chromatin-accessibility score; pronounced, unambiguous, and central to the message.","chromatin, accessibility, score"
spiritual-virtue-humility-practice-index,Spiritual virtue: Humility practice index,personality,positive,both,"'Spiritual virtue: Humility practice index' is a personality facet. Definition context: Stable traits and dispositions: HEXACO/Big-Five facets, character strengths, virtues, leadership style. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'spiritual virtue: humility practice index'.",The turn shows no evidence of spiritual virtue: humility practice index; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of spiritual virtue: humility practice index; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays spiritual virtue: humility practice index, though not in an extreme form.","The turn is a textbook exemplar of spiritual virtue: humility practice index; pronounced, unambiguous, and central to the message.","spiritual, virtue:, humility, practice, index"
i-ching-hexagram-36-resonance-level,I Ching hexagram 36 resonance level,clinical_health,positive,both,"'I Ching hexagram 36 resonance level' is a clinical health facet. Definition context: Clinical, medical, or physiological signals: hormone levels, anatomical knowledge, symptoms, mental-health markers. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'i ching hexagram 36 resonance level'.",No clinical signal related to i ching hexagram 36 resonance level.,Faint or indirect signal of i ching hexagram 36 resonance level.,Ambiguous; clinical follow-up would be needed.,Strong textual signal of i ching hexagram 36 resonance level; clinically notable.,"Unambiguous, severe, or quantified expression of i ching hexagram 36 resonance level.","ching, hexagram, resonance, level"
